Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Max Aarons,eng ENG,DF,Norwich City,21,2000,34,32,"2,881",32,0,2,2,0,0,0,8,0,0.8,0.8,1.7,2.5,78,117,85,0,0.06,0.06,0,0.06,0.03,0.05,0.08,0.03,0.08,Matches
2,Che Adams,sct SCO,FW,Southampton,25,1996,30,23,"2,039",22.7,7,3,10,7,0,0,0,0,7.1,7.1,3,10.1,19,33,153,0.31,0.13,0.44,0.31,0.44,0.31,0.13,0.45,0.31,0.45,Matches
3,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,20,2001,23,20,"1,828",20.3,1,2,3,1,0,0,4,0,0.6,0.6,1.6,2.2,60,49,127,0.05,0.1,0.15,0.05,0.15,0.03,0.08,0.11,0.03,0.11,Matches
4,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,24,23,"1,995",22.2,1,3,4,1,0,0,5,0,0.8,0.8,1.7,2.5,30,82,29,0.05,0.14,0.18,0.05,0.18,0.04,0.08,0.11,0.04,0.11,Matches
5,Nathan Aké,nl NED,DF,Manchester City,26,1995,14,10,923,10.3,2,0,2,2,0,0,0,0,0.7,0.7,0.6,1.2,12,57,8,0.2,0,0.2,0.2,0.2,0.07,0.06,0.12,0.07,0.12,Matches
6,Marc Albrighton,eng ENG,"FW,DF",Leicester City,31,1989,17,11,"1,132",12.6,1,2,3,1,0,0,3,0,0.5,0.5,2,2.5,21,26,56,0.08,0.16,0.24,0.08,0.24,0.04,0.16,0.2,0.04,0.2,Matches
7,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,25,17,"1,534",17,1,4,5,1,0,0,2,0,1.9,1.9,2.3,4.2,24,214,45,0.06,0.23,0.29,0.06,0.29,0.11,0.14,0.25,0.11,0.25,Matches
8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,32,32,"2,853",31.7,2,12,14,2,0,0,2,0,2.4,2.4,12,14.4,53,267,201,0.06,0.38,0.44,0.06,0.44,0.07,0.38,0.46,0.07,0.46,Matches
9,Alisson,br BRA,GK,Liverpool,28,1992,36,36,"3,240",36,0,1,1,0,0,0,0,0,0,0,0.2,0.2,0,1,0,0,0.03,0.03,0,0.03,0,0.01,0.01,0,0.01,Matches
10,Allan,br BRA,MF,Everton,30,1991,28,25,"2,183",24.3,0,2,2,0,0,0,7,1,0.2,0.2,0.8,1.1,26,130,18,0,0.08,0.08,0,0.08,0.01,0.03,0.04,0.01,0.04,Matches
